county,crop,year,area_ha,production_tons,yield_tha
Turkana,Maize,2025,1581.0,1712.0,1.0828589500316257
Marsabit,Maize,2021,658.0,46.0,0.0699088145896656
Marsabit,Maize,2022,591.0,3.0,0.0050761421319796
Marsabit,Maize,2023,2184.0,337.0,0.1543040293040293
Marsabit,Maize,2024,1830.0,1089.0,0.5950819672131148
Marsabit,Maize,2025,1870.0,1224.0,0.6545454545454545
Mombasa,Maize,2021,649.0,0.0,0.0
Mombasa,Maize,2022,842.0,272.0,0.3230403800475059
Mombasa,Maize,2023,876.0,878.0,1.0022831050228311
Mombasa,Maize,2024,867.0,770.0,0.8881199538638985
Mombasa,Maize,2025,740.0,851.2,1.1502702702702703
Wajir,Maize,2021,54.0,19.0,0.3518518518518518
Wajir,Maize,2022,72.0,25.0,0.3472222222222222
Wajir,Maize,2023,132.0,34.0,0.2575757575757575
Wajir,Maize,2024,278.0,216.0,0.7769784172661871
Wajir,Maize,2025,527.0,591.0,1.1214421252371916
Isiolo,Maize,2021,147.0,139.0,0.9455782312925172
Isiolo,Maize,2022,129.0,94.0,0.7286821705426356
Isiolo,Maize,2023,256.0,176.0,0.6875
Isiolo,Maize,2024,288.0,576.0,2.0
Isiolo,Maize,2025,308.0,468.45,1.5209415584415584
Nairobi,Maize,2021,754.0,571.0,0.7572944297082228
Nairobi,Maize,2022,661.0,246.0,0.3721633888048411
Nairobi,Maize,2023,758.0,676.0,0.8918205804749341
Nairobi,Maize,2024,713.0,641.0,0.8990182328190743
Nairobi,Maize,2025,376.0,182.4,0.4851063829787234
Garissa,Maize,2021,145.0,71.0,0.4896551724137931
Garissa,Maize,2022,107.0,70.0,0.6542056074766355
Garissa,Maize,2023,142.0,132.0,0.9295774647887324
Garissa,Maize,2024,222.0,382.0,1.720720720720721
Garissa,Maize,2025,96.0,133.0,1.3854166666666667
Nakuru,Wheat,2021,32271.0,117151.0,3.630225279662856
Nakuru,Wheat,2022,26992.0,112218.0,4.157454060462359
Nakuru,Wheat,2023,21304.0,72252.0,3.391475779196395
Nakuru,Wheat,2024,19520.0,72391.0,3.708555327868853
Nakuru,Wheat,2025,21809.0,67437.0,3.092163785593104
Narok,Wheat,2021,48595.0,139055.0,2.8615083856363825
Narok,Wheat,2022,55770.0,167926.0,3.0110453648915185
Narok,Wheat,2023,49090.0,130872.0,2.6659604807496438
Narok,Wheat,2024,40003.0,118135.0,2.9531535134864884
Narok,Wheat,2025,25923.0,67144.0,2.5901323149326854
Laikipia,Wheat,2021,4136.0,14784.0,3.574468085106383
Laikipia,Wheat,2022,7192.0,18830.0,2.618186874304783
Laikipia,Wheat,2023,5920.0,24110.0,4.072635135135135
Laikipia,Wheat,2024,9925.0,26451.0,2.665088161209068
Laikipia,Wheat,2025,13960.0,35429.0,2.537893982808023
Uasin Gishu,Wheat,2021,22202.0,42336.0,1.906855238266823
Uasin Gishu,Wheat,2022,15992.0,35944.0,2.247623811905953
Uasin Gishu,Wheat,2023,12316.0,38798.0,3.150211107502436
Uasin Gishu,Wheat,2024,15190.0,47463.0,3.1246214614878207
Uasin Gishu,Wheat,2025,8985.0,29610.0,3.295492487479132
Meru,Wheat,2021,10990.0,20275.0,1.8448589626933576
Meru,Wheat,2022,6785.0,21712.0,3.2
Meru,Wheat,2023,7225.0,24363.0,3.3720415224913496
Meru,Wheat,2024,7145.0,27268.0,3.816375087473758
Meru,Wheat,2025,7960.0,27990.0,3.516331658291457
Nyandarua,Wheat,2021,2228.0,7172.0,3.2190305206463194
Nyandarua,Wheat,2022,1915.0,6004.0,3.135248041775457
Nyandarua,Wheat,2023,2516.0,7160.0,2.8457869634340223
Nyandarua,Wheat,2024,3763.0,8498.0,2.258304544246612
Nyandarua,Wheat,2025,3820.0,8160.0,2.136125654450262
Nyeri,Wheat,2021,1024.0,1711.0,1.6708984375
Nyeri,Wheat,2022,662.0,1543.0,2.3308157099697886
Nyeri,Wheat,2023,235.0,251.0,1.0680851063829788
Nyeri,Wheat,2024,1303.0,3227.0,2.476592478894858
Nyeri,Wheat,2025,3827.0,5585.0,1.4593676509014897
Samburu,Wheat,2021,1200.0,2700.0,2.25
Samburu,Wheat,2022,2800.0,2772.0,0.99
Samburu,Wheat,2023,4200.0,8820.0,2.1
Samburu,Wheat,2024,2100.0,4790.0,2.280952380952381
Samburu,Wheat,2025,2500.0,5300.0,2.12
Baringo,Wheat,2021,190.0,475.0,2.5
Baringo,Wheat,2022,160.0,320.0,2.0
Baringo,Wheat,2023,240.0,1080.0,4.5
Baringo,Wheat,2024,270.0,810.0,3.0
Baringo,Wheat,2025,276.0,1545.0,5.5978260869565215
Nyamira,Wheat,2021,894.0,671.0,0.7505592841163311
Nyamira,Wheat,2022,798.0,431.0,0.5401002506265664
Nyamira,Wheat,2023,889.0,571.0,0.6422947131608548
Nyamira,Wheat,2024,2867.0,1561.0,0.5444715730728985
Nyamira,Wheat,2025,1141.0,1308.0,1.1463628396143737
Elgeyo-Marakwet,Wheat,2021,177.0,560.0,3.1638418079096047
Elgeyo-Marakwet,Wheat,2022,178.0,374.0,2.101123595505618
Elgeyo-Marakwet,Wheat,2023,179.0,500.0,2.793296089385475
Elgeyo-Marakwet,Wheat,2024,185.0,589.0,3.183783783783784
Elgeyo-Marakwet,Wheat,2025,203.0,698.0,3.438423645320197
Bungoma,Wheat,2021,186.0,465.0,2.5
Bungoma,Wheat,2022,159.0,318.0,2.0
Bungoma,Wheat,2023,113.0,260.0,2.3008849557522124
Bungoma,Wheat,2024,120.0,300.0,2.5
Bungoma,Wheat,2025,100.0,293.0,2.93
Trans Nzoia,Wheat,2021,760.0,1720.0,2.263157894736842
Trans Nzoia,Wheat,2022,126.0,285.0,2.261904761904762
Trans Nzoia,Wheat,2023,187.0,408.0,2.1818181818181817
Trans Nzoia,Wheat,2024,138.0,273.0,1.9782608695652173
Trans Nzoia,Wheat,2025,10.0,22.0,2.2
Marsabit,Wheat,2021,27.0,27.0,1.0
Marsabit,Wheat,2022,25.0,20.0,0.8
Marsabit,Wheat,2023,26.0,47.0,1.807692307692308
Marsabit,Wheat,2024,28.0,27.0,0.9642857142857144
Marsabit,Wheat,2025,0.0,0.0,0.0
Nyandarua,Potatoes,2021,37590.0,384323.0,10.224075552008513
Nyandarua,Potatoes,2022,19590.0,101099.0,5.160745278203165
Nyandarua,Potatoes,2023,43587.0,437748.0,10.043086241310483
Nyandarua,Potatoes,2024,34980.0,394325.0,11.272870211549456
Nyandarua,Potatoes,2025,49770.0,699573.0,14.056118143459916
Nakuru,Potatoes,2021,40285.0,422207.0,10.480501427330271
Nakuru,Potatoes,2022,46731.0,523324.0,11.198647578695084
Nakuru,Potatoes,2023,49981.0,657091.0,13.1468157900002
Nakuru,Potatoes,2024,48513.0,476876.0,9.829860037515717
Nakuru,Potatoes,2025,39782.0,476417.0,11.975692524257202
Meru,Potatoes,2021,17392.0,224747.0,12.922435602575897
Meru,Potatoes,2022,20520.0,185731.0,9.051218323586745
Meru,Potatoes,2023,24604.0,236407.0,9.608478296211999
Meru,Potatoes,2024,24660.0,263596.0,10.689213300892133
Meru,Potatoes,2025,20369.0,202424.0,9.937846727870784
Bungoma,Potatoes,2021,1883.0,24936.0,13.242697822623473
Bungoma,Potatoes,2022,9436.0,100694.0,10.67125900805426
Bungoma,Potatoes,2023,2153.0,27217.0,12.641430562006503
Bungoma,Potatoes,2024,7531.0,73081.0,9.704023370070376
Bungoma,Potatoes,2025,8416.0,167695.0,19.92573669201521
Nyeri,Potatoes,2021,16469.0,94420.0,5.733195701014027
Nyeri,Potatoes,2022,14711.0,97669.0,6.639181564815444
Nyeri,Potatoes,2023,16447.0,97975.0,5.957013437100991
Nyeri,Potatoes,2024,12749.0,89556.0,7.02455094517217
Nyeri,Potatoes,2025,14438.0,123599.0,8.56067322343815
Kiambu,Potatoes,2021,18955.0,123904.0,6.53674492218412
Kiambu,Potatoes,2022,19156.0,97539.0,5.0918250156608895
Kiambu,Potatoes,2023,19206.0,102645.0,5.344423617619494
Kiambu,Potatoes,2024,21327.0,126725.0,5.941998405776715
Kiambu,Potatoes,2025,20170.0,104557.0,5.183787803668815
Baringo,Potatoes,2021,3363.0,45215.0,13.444840915848944
Baringo,Potatoes,2022,3504.0,29998.0,8.56107305936073
Baringo,Potatoes,2023,3565.0,37205.0,10.436185133239832
Baringo,Potatoes,2024,3775.0,42900.0,11.364238410596027
Baringo,Potatoes,2025,4888.0,75130.0,15.370294599018003
Trans Nzoia,Potatoes,2021,1758.0,9940.0,5.654152445961319
Trans Nzoia,Potatoes,2022,2765.0,33180.0,12.0
Trans Nzoia,Potatoes,2023,1635.0,13181.0,8.06177370030581
Trans Nzoia,Potatoes,2024,2566.0,26718.0,10.412314886983632
Trans Nzoia,Potatoes,2025,3530.0,52863.0,14.975354107648725
Laikipia,Potatoes,2021,8480.0,40270.0,4.748820754716981
Laikipia,Potatoes,2022,19258.0,53762.0,2.7916709938726765
Laikipia,Potatoes,2023,6099.0,47857.0,7.84669617970159
Laikipia,Potatoes,2024,6910.0,25931.0,3.7526772793053547
Laikipia,Potatoes,2025,8240.0,37142.0,4.50752427184466
Bomet,Potatoes,2021,3526.0,36320.0,10.300623936471922
Bomet,Potatoes,2022,6680.0,78135.0,11.696856287425149
Bomet,Potatoes,2023,3935.0,37383.0,9.50012706480305
Bomet,Potatoes,2024,1950.0,29250.0,15.0
Bomet,Potatoes,2025,1903.0,20529.0,10.787703625853915
Murang'a,Potatoes,2021,6314.0,32708.0,5.1802343997465945
Murang'a,Potatoes,2022,14949.0,66314.0,4.436015787009165
Murang'a,Potatoes,2023,7470.0,26037.0,3.485542168674699
Murang'a,Potatoes,2024,7242.0,35792.0,4.942281137807235
Murang'a,Potatoes,2025,5220.65,19217.0,3.680959267524159
West Pokot,Potatoes,2021,2517.0,24365.0,9.680174811283274
West Pokot,Potatoes,2022,1858.0,16135.0,8.684068891280948
West Pokot,Potatoes,2023,8009.0,96109.0,12.000124859533026
West Pokot,Potatoes,2024,2456.0,27994.0,11.398208469055374
West Pokot,Potatoes,2025,3042.0,15017.0,4.93655489809336
Kajiado,Potatoes,2021,1073.0,4431.0,4.129543336439888
Kajiado,Potatoes,2022,1459.0,14119.0,9.677176148046607
Kajiado,Potatoes,2023,1699.0,10874.0,6.400235432607416
Kajiado,Potatoes,2024,1349.0,11461.0,8.49592290585619
Kajiado,Potatoes,2025,1689.0,11377.0,6.735938425103612
Nandi,Potatoes,2021,483.0,6085.0,12.598343685300208
Nandi,Potatoes,2022,629.0,7548.0,12.0
Nandi,Potatoes,2023,644.0,6611.0,10.26552795031056
Nandi,Potatoes,2024,639.0,5346.0,8.366197183098592
Nandi,Potatoes,2025,983.0,8732.0,8.883011190233978
Kericho,Potatoes,2021,618.0,6798.0,11.0
Kericho,Potatoes,2022,546.0,6006.0,11.0
Kericho,Potatoes,2023,704.0,8518.0,12.099431818181818
Kericho,Potatoes,2024,773.0,5745.0,7.432082794307892
Kericho,Potatoes,2025,785.0,7626.0,9.714649681528662
Embu,Potatoes,2021,274.0,2057.0,7.507299270072993
Embu,Potatoes,2022,281.0,2592.0,9.224199288256228
Embu,Potatoes,2023,295.0,2101.0,7.122033898305085
Embu,Potatoes,2024,302.0,2595.0,8.592715231788079
Embu,Potatoes,2025,230.0,3992.0,17.356521739130436
Narok,Potatoes,2021,14560.0,135176.0,9.284065934065934
Narok,Potatoes,2022,12742.0,87981.0,6.904803013655627
Narok,Potatoes,2023,14975.0,140615.0,9.389983305509181
Narok,Potatoes,2024,17872.0,157252.0,8.798791405550581
Narok,Potatoes,2025,250.0,2000.0,8.0
Kisii,Potatoes,2021,43.0,595.0,13.837209302325581
Kisii,Potatoes,2022,24.0,152.0,6.333333333333333
Kisii,Potatoes,2023,46.0,382.0,8.304347826086957
Kisii,Potatoes,2024,46.0,415.0,9.021739130434783
Kisii,Potatoes,2025,124.0,1574.0,12.693548387096774
Kirinyaga,Potatoes,2021,579.0,5565.0,9.61139896373057
Kirinyaga,Potatoes,2022,219.0,460.0,2.1004566210045663
Kirinyaga,Potatoes,2023,352.0,3001.0,8.525568181818182
Kirinyaga,Potatoes,2024,183.0,1010.0,5.51912568306011
Kirinyaga,Potatoes,2025,201.0,1409.0,7.009950248756219
Samburu,Potatoes,2021,20.0,160.0,8.0
Samburu,Potatoes,2022,50.0,450.0,9.0
Samburu,Potatoes,2023,322.0,2355.0,7.313664596273292
Samburu,Potatoes,2024,110.0,859.0,7.8090909090909095
Samburu,Potatoes,2025,170.0,1150.0,6.764705882352941
